stn;time;tre200dn;htoautd0;hto000d0
DIS;19590101;-2.6;-;-
DIS;19590102;-3.6;-;-
DIS;19590103;-4.5;-;-
DIS;19590104;-7.3;-;-
DIS;19590105;-9.8;-;-
DIS;19590106;-10.0;-;-
DIS;19590107;-2.5;-;-
DIS;19590108;-5.2;-;-
DIS;19590109;-6.9;-;-
DIS;19590110;-8.2;-;-
DIS;19590111;-10.6;-;-
DIS;19590112;-12.3;-;-
DIS;19590113;-11.0;-;-
DIS;19590114;-6.9;-;-
DIS;19590115;-1.5;-;-
DIS;19590116;-7.6;-;-
DIS;19590117;-9.9;-;-
DIS;19590118;-10.6;-;-
DIS;19590119;-3.1;-;-
DIS;19590120;1.2;-;-
DIS;19590121;2.0;-;-
DIS;19590122;3.5;-;-
DIS;19590123;1.1;-;-
DIS;19590124;-3.5;-;-
DIS;19590125;-6.2;-;-
DIS;19590126;-9.8;-;-
DIS;19590127;-8.0;-;-
DIS;19590128;-3.5;-;-
DIS;19590129;-2.1;-;-
DIS;19590130;-1.2;-;-
DIS;19590131;-3.0;-;-
DIS;19590201;-7.3;-;-
DIS;19590202;-7.0;-;-
DIS;19590203;-4.2;-;-
DIS;19590204;0.6;-;-
DIS;19590205;2.2;-;-
DIS;19590206;-0.5;-;-
DIS;19590207;-0.9;-;-
DIS;19590208;-1.0;-;-
DIS;19590209;-1.6;-;-
DIS;19590210;-0.4;-;-
DIS;19590211;-1.9;-;-
DIS;19590212;-3.5;-;-
DIS;19590213;-3.7;-;-
DIS;19590214;-2.7;-;-
DIS;19590215;-1.1;-;-
DIS;19590216;-1.7;-;-
DIS;19590217;-2.4;-;-
DIS;19590218;-1.6;-;-
DIS;19590219;-0.8;-;-
DIS;19590220;-0.5;-;-
DIS;19590221;-1.6;-;-
DIS;19590222;-1.6;-;-
DIS;19590223;-0.8;-;-
DIS;19590224;-1.2;-;-
DIS;19590225;-0.1;-;-
DIS;19590226;-0.4;-;-
DIS;19590227;0.0;-;-
DIS;19590228;1.2;-;-
DIS;19590301;2.5;-;-
DIS;19590302;1.5;-;-
DIS;19590303;4.0;-;-
DIS;19590304;4.0;-;-
DIS;19590305;3.5;-;-
DIS;19590306;6.0;-;-
DIS;19590307;2.8;-;-
DIS;19590308;0.5;-;-
DIS;19590309;0.0;-;-
DIS;19590310;4.0;-;-
DIS;19590311;2.0;-;-
DIS;19590312;1.4;-;-
DIS;19590313;-0.5;-;-
DIS;19590314;-0.7;-;-
DIS;19590315;-2.4;-;-
DIS;19590316;-1.5;-;-
DIS;19590317;-0.3;-;-
DIS;19590318;1.1;-;-
DIS;19590319;2.0;-;-
DIS;19590320;1.5;-;-
DIS;19590321;5.0;-;-
DIS;19590322;4.6;-;-
DIS;19590323;5.1;-;-
DIS;19590324;4.2;-;-
DIS;19590325;5.0;-;-
DIS;19590326;1.0;-;-
DIS;19590327;1.0;-;-
DIS;19590328;3.7;-;-
DIS;19590329;2.4;-;-
DIS;19590330;0.6;-;-
DIS;19590331;-0.2;-;-
DIS;19590401;2.0;-;-
DIS;19590402;0.6;-;-
DIS;19590403;1.7;-;-
DIS;19590404;4.3;-;-
DIS;19590405;4.7;-;-
DIS;19590406;4.9;-;-
DIS;19590407;-0.3;-;-
DIS;19590408;-0.5;-;-
DIS;19590409;-0.2;-;-
DIS;19590410;-0.7;-;-
DIS;19590411;-1.5;-;-
DIS;19590412;1.9;-;-
DIS;19590413;4.4;-;-
DIS;19590414;6.5;-;-
DIS;19590415;7.2;-;-
DIS;19590416;6.6;-;-
DIS;19590417;1.4;-;-
DIS;19590418;3.2;-;-
DIS;19590419;3.0;-;-
DIS;19590420;-1.1;-;-
DIS;19590421;-3.6;-;-
DIS;19590422;-3.7;-;-
DIS;19590423;-1.5;-;-
DIS;19590424;0.0;-;-
DIS;19590425;1.7;-;-
DIS;19590426;6.0;-;-
DIS;19590427;6.3;-;-
DIS;19590428;4.6;-;-
DIS;19590429;5.4;-;-
DIS;19590430;4.2;-;-
DIS;19590501;0.4;-;-
DIS;19590502;0.2;-;-
DIS;19590503;1.4;-;-
DIS;19590504;0.0;-;-
DIS;19590505;3.0;-;-
DIS;19590506;5.0;-;-
DIS;19590507;5.5;-;-
DIS;19590508;8.3;-;-
DIS;19590509;8.5;-;-
DIS;19590510;8.7;-;-
DIS;19590511;8.9;-;-
DIS;19590512;8.0;-;-
DIS;19590513;6.0;-;-
DIS;19590514;3.9;-;-
DIS;19590515;2.7;-;-
DIS;19590516;3.5;-;-
DIS;19590517;6.1;-;-
DIS;19590518;6.5;-;-
DIS;19590519;8.1;-;-
DIS;19590520;7.2;-;-
DIS;19590521;10.4;-;-
DIS;19590522;8.7;-;-
DIS;19590523;8.5;-;-
DIS;19590524;10.3;-;-
DIS;19590525;8.0;-;-
DIS;19590526;7.9;-;-
DIS;19590527;7.4;-;-
DIS;19590528;6.1;-;-
DIS;19590529;6.0;-;-
DIS;19590530;3.7;-;-
DIS;19590531;2.2;-;-
DIS;19590601;5.7;-;-
DIS;19590602;8.0;-;-
DIS;19590603;6.5;-;-
DIS;19590604;9.4;-;-
DIS;19590605;11.1;-;-
DIS;19590606;11.3;-;-
DIS;19590607;13.0;-;-
DIS;19590608;11.1;-;-
DIS;19590609;8.9;-;-
DIS;19590610;4.9;-;-
DIS;19590611;4.5;-;-
DIS;19590612;2.3;-;-
DIS;19590613;4.5;-;-
DIS;19590614;6.9;-;-
DIS;19590615;8.0;-;-
DIS;19590616;9.5;-;-
DIS;19590617;8.8;-;-
DIS;19590618;10.7;-;-
DIS;19590619;10.4;-;-
DIS;19590620;11.5;-;-
DIS;19590621;12.1;-;-
DIS;19590622;11.8;-;-
DIS;19590623;12.2;-;-
DIS;19590624;10.8;-;-
DIS;19590625;12.4;-;-
DIS;19590626;11.0;-;-
DIS;19590627;11.6;-;-
DIS;19590628;11.5;-;-
