time;tre200dx;tre200dn;tre200d0;hns000d0;rka150d0;hto000d0
19681202;-;-;-;-;-;0
19681203;-;-;-;-;-;0
19681204;-;-;-;-;-;0
19681205;-;-;-;-;-;0
19681206;-;-;-;-;-;0
19681207;-;-;-;-;-;0
19681208;-;-;-;-;-;0
19681209;-;-;-;-;-;0
19681210;-;-;-;-;-;0
19681211;-;-;-;-;-;0
19681212;-;-;-;-;-;0
19681213;-;-;-;-;-;0
19681214;-;-;-;-;-;0
19681215;-;-;-;-;-;0
19681216;-;-;-;-;-;0
19681217;-;-;-;-;-;0
19681218;-;-;-;-;-;8
19681219;-;-;-;-;-;8
19681220;-;-;-;-;-;7
19681221;-;-;-;-;-;21
19681222;-;-;-;-;-;13
19681223;-;-;-;-;-;10
19681224;-;-;-;-;-;5
19681225;-;-;-;-;-;9
19681226;-;-;-;-;-;28
19681227;-;-;-;-;-;25
19681228;-;-;-;-;-;38
19681229;-;-;-;-;-;43
19681230;-;-;-;-;-;43
19681231;-;-;-;-;-;40
19690101;-;-;-;1;-;40
19690102;-;-;-;9;-;40
19690103;-;-;-;-;-;49
19690104;-;-;-;0;-;55
19690105;-;-;-;0;-;54
19690106;-;-;-;0;-;53
19690107;-;-;-;0;-;51
19690108;-;-;-;-;-;49
19690109;-;-;-;0;-;48
19690110;-;-;-;0;-;48
19690111;-;-;-;0;-;46
19690112;-;-;-;0;-;45
19690113;-;-;-;0;-;44
19690114;-;-;-;1;-;42
19690115;-;-;-;-;-;39
19690116;-;-;-;5;-;51
19690117;-;-;-;0;-;45
19690118;-;-;-;7;-;58
19690119;-;-;-;2;-;50
19690120;-;-;-;0;-;57
19690121;-;-;-;0;-;51
19690122;-;-;-;0;-;45
19690123;-;-;-;-;-;39
19690124;-;-;-;0;-;30
19690125;-;-;-;0;-;26
19690126;-;-;-;0;-;25
19690127;-;-;-;-;-;24
19690128;-;-;-;0;-;24
19690129;-;-;-;-;-;26
19690130;-;-;-;-;-;33
19690131;-;-;-;0;-;40
19690201;-;-;-;0;-;40
19690202;-;-;-;15;-;39
19690203;-;-;-;0;-;40
19690204;-;-;-;12;-;40
19690205;-;-;-;6;-;52
19690206;-;-;-;0;-;58
19690207;-;-;-;7;-;55
19690208;-;-;-;-;-;62
19690209;-;-;-;0;-;69
19690210;-;-;-;12;-;67
19690211;-;-;-;8;-;65
19690212;-;-;-;-;-;70
19690213;-;-;-;-;-;68
19690214;-;-;-;-;-;70
19690215;-;-;-;5;-;64
19690216;-;-;-;2;-;60
19690217;-;-;-;3;-;61
19690218;-;-;-;-;-;61
19690219;-;-;-;-;-;63
19690220;-;-;-;-;-;57
19690221;-;-;-;0;-;41
19690222;-;-;-;0;-;37
19690223;-;-;-;0;-;31
19690224;-;-;-;-;-;27
19690225;-;-;-;-;-;24
19690226;-;-;-;1;-;30
19690227;-;-;-;0;-;40
19690228;-;-;-;0;-;33
19690301;-;-;-;0;-;31
19690302;-;-;-;0;-;31
19690303;-;-;-;0;-;28
19690304;-;-;-;0;-;25
19690305;-;-;-;0;-;23
19690306;-;-;-;0;-;23
19690307;-;-;-;0;-;23
