Year;Month;Temperature;Precipitation
1864;1;NA;37.9
1864;2;NA;22.7
1864;3;NA;62.7
1864;4;NA;138.4
1864;5;NA;144.6
1864;6;NA;193.7
1864;7;NA;145.9
1864;8;NA;68.9
1864;9;NA;99.8
1864;10;NA;31.2
1864;11;NA;68.9
1864;12;NA;4.2
1865;1;NA;66.5
1865;2;NA;73.1
1865;3;NA;71
1865;4;NA;1
1865;5;NA;86.4
1865;6;NA;55.2
1865;7;NA;163.5
1865;8;NA;212.4
1865;9;NA;0
1865;10;NA;75.6
1865;11;NA;90.8
1865;12;NA;10.5
1866;1;NA;28.7
1866;2;NA;126.6
1866;3;NA;145.2
1866;4;NA;99.7
1866;5;NA;117.5
1866;6;NA;77.7
1866;7;NA;81.8
1866;8;NA;278.3
1866;9;NA;102.8
1866;10;NA;29.2
1866;11;NA;90.8
1866;12;NA;80.5
1867;1;NA;173
1867;2;NA;66.9
1867;3;NA;119
1867;4;NA;121.1
1867;5;NA;179.6
1867;6;NA;157.2
1867;7;NA;68.8
1867;8;NA;128
1867;9;NA;131.8
1867;10;NA;187.5
1867;11;NA;31.3
1867;12;NA;66.9
1868;1;NA;42
1868;2;NA;15.4
1868;3;NA;91.9
1868;4;NA;86.5
1868;5;NA;30.1
1868;6;NA;117.9
1868;7;NA;167.2
1868;8;NA;96
1868;9;NA;91.9
1868;10;NA;176.4
1868;11;NA;29.2
1868;12;NA;161.1
1869;1;NA;47.1
1869;2;NA;38.1
1869;3;NA;75.2
1869;4;NA;68.2
1869;5;NA;120.4
1869;6;NA;80.5
1869;7;NA;105.9
1869;8;NA;236.6
1869;9;NA;93.9
1869;10;NA;83.7
1869;11;NA;88.7
1869;12;NA;43.9
1870;1;NA;19.5
1870;2;NA;29.9
1870;3;NA;57.4
1870;4;NA;49.9
1870;5;NA;61.2
1870;6;NA;61.8
1870;7;NA;70.6
1870;8;NA;138.7
1870;9;NA;69.9
1870;10;NA;194.5
1870;11;NA;49
1870;12;NA;84.7
1871;1;-5;44
1871;2;1.6;34
1871;3;4.2;68.9
1871;4;9.2;106.9
1871;5;12.2;45.6
1871;6;13;151.6
1871;7;18.5;129.1
1871;8;17;107.7
1871;9;15.5;54.9
1871;10;6.4;109.9
1871;11;-0.4;64.7
1871;12;-6.7;20.9
1872;1;0.2;46.1
1872;2;0.8;43.2
1872;3;5.5;47
1872;4;9.2;58
1872;5;11.5;155.3
1872;6;15.1;181.5
1872;7;18.3;151.4
1872;8;15;239.6
1872;9;13.7;71.9
1872;10;9.3;105.8
1872;11;5.4;72
1872;12;2.4;101.5
1873;1;1.3;38.9
1873;2;-0.1;31.9
1873;3;5.9;98.2
1873;4;6.6;172
1873;5;10.2;134.9
1873;6;16;141.3
1873;7;19.5;133.8
1873;8;18;195.9
1873;9;12.9;84.9
1873;10;8.8;138.1
1873;11;3.7;45.9
1873;12;-1.2;20.9
1874;1;-0.5;16.4
1874;2;-0.2;31.9
1874;3;3.2;45.9
1874;4;10.1;76.3
1874;5;8.9;164.1
1874;6;16.6;132.9
1874;7;19.6;228.6
1874;8;15.2;120.3
1874;9;14.8;42.9
1874;10;8.9;30.2
1874;11;1.1;96
1874;12;-2.6;91
1875;1;1.8;94.2
1875;2;-3.4;32.9
1875;3;1.8;48
1875;4;8.3;14.2
1875;5;14.5;101
1875;6;16.5;256.4
1875;7;16.5;128.2
1875;8;18.3;79.5
1875;9;14.7;94.8
1875;10;7.1;160.3
1875;11;3.2;113.7
1875;12;-2.7;28.2
1876;1;-2.8;37.9
1876;2;1.2;78.2
1876;3;3.7;216.2
1876;4;7.8;145.5
1876;5;8.9;129.1
1876;6;15.4;223.6
1876;7;18.2;118.9
1876;8;17.1;132.9
1876;9;12.1;141.8
1876;10;10.5;23.2
1876;11;3;86.6
1876;12;3.4;65.9
1877;1;3.1;49.1
1877;2;3.2;87.5
1877;3;2.3;108.6
1877;4;7.7;131.3
1877;5;9.9;140.8
1877;6;18.4;91.7
1877;7;16.8;195.1
1877;8;17.6;163.9
1877;9;11;78.9
1877;10;6.5;66.5
1877;11;5.1;97
1877;12;0.6;94.1
1878;1;-2.2;78.8
1878;2;1;19.6
1878;3;2.8;78.3
1878;4;8.5;92.6
1878;5;14;106.8
1878;6;15.2;197.4
1878;7;16.6;158.9
1878;8;16.3;150.3
1878;9;13.1;134.8
1878;10;9.2;95.7
1878;11;1.9;50.1
1878;12;-2.4;126.6
1879;1;-1.2;61.4
1879;2;1.5;111.2
1879;3;3.7;16.7
1879;4;6;142.5
1879;5;8.3;138.8
1879;6;15.9;139.4
1879;7;14.9;159.8
1879;8;17.7;193
1879;9;13;124.8
1879;10;6.5;83.7
1879;11;-0.1;108.5
1879;12;-7.5;35.6
1880;1;-5.1;23.5
1880;2;0.8;42.2
1880;3;6.5;25.1
1880;4;8.4;149.6
1880;5;11.1;72.8
1880;6;14.7;118.8
1880;7;18.8;171
1880;8;15.6;211.6
1880;9;13.7;89.1
1880;10;8.2;214.1
1880;11;4.3;36.4
1880;12;4.4;63
1881;1;-3.3;37.3
1881;2;1.7;35.5
1881;3;4.8;71.2
1881;4;7.1;110.9
1881;5;11.4;90.9
1881;6;14.8;205.2
1881;7;19.8;124.1
1881;8;16.7;209.4
1881;9;11.8;187.4
1881;10;5.1;76.5
1881;11;4.2;13.7
1881;12;-0.2;35
1882;1;-1.3;17.1
1882;2;0.1;22
1882;3;5.4;34.4
1882;4;8;72.6
1882;5;12.7;113.7
1882;6;14.6;249
1882;7;15.7;144.8
1882;8;14.7;98.6
1882;9;11.5;247.6
1882;10;9;157.1
1882;11;4.7;136.2
1882;12;0.8;81.5
1883;1;0.5;31.4
1883;2;2.7;52.8
1883;3;0.2;47.6
1883;4;7.6;47.3
1883;5;12.6;126.6
1883;6;14.9;175.8
1883;7;16.1;229.7
1883;8;15.7;86.2
1883;9;12.8;116.8
1883;10;7.1;79
1883;11;4.1;101.1
1883;12;0.2;44.3
1884;1;1.9;24.7
1884;2;2.1;81.2
1884;3;5.1;22.6
1884;4;7.4;74
1884;5;13.4;88.8
1884;6;12.8;159.2
1884;7;17.9;157.2
1884;8;17.2;115
1884;9;13.4;76.7
1884;10;7.8;52.9
1884;11;1.9;27.3
1884;12;0.5;84.8
1885;1;-4;10.4
1885;2;3.1;92
1885;3;3.6;66.3
1885;4;9.1;61.4
1885;5;10;156.3
1885;6;17.3;26.7
1885;7;18.5;67.5
1885;8;16.1;108
1885;9;12.4;152.7
1885;10;6.8;148.5
1885;11;4;55.4
1885;12;0.1;110.3
1886;1;-1.7;47
1886;2;-2.1;52.9
1886;3;2;59.2
1886;4;9;130.9
1886;5;12.7;71.4
1886;6;14.1;202.2
1886;7;17.7;144.8
1886;8;16.4;230.3
1886;9;14.8;104.6
1886;10;9.2;90.7
1886;11;4.1;95.3
1886;12;0.7;99.4
1887;1;-3.8;4.7
1887;2;-1.8;7.7
1887;3;0.4;134
1887;4;7.4;69.4
1887;5;10;171.1
1887;6;16.9;62.9
1887;7;19.2;86.8
1887;8;16.1;156.1
1887;9;11.8;120.8
1887;10;4.8;47.9
1887;11;2.3;35.2
1887;12;-0.8;107.1
1888;1;-2.4;14
1888;2;-1.1;67.3
1888;3;2.5;72.3
1888;4;6.3;142.2
1888;5;13.6;74.1
1888;6;16;133.1
1888;7;15.2;228.8
1888;8;15.1;197.4
1888;9;13;224.3
1888;10;5.1;85.9
1888;11;3.9;32.9
1888;12;-0.9;15.1
1889;1;-2.3;14
1889;2;-1.3;74.2
1889;3;0.8;61.8
1889;4;7;66.9
1889;5;13.9;91
1889;6;17;164.1
1889;7;16.6;166.8
1889;8;15.4;106.9
1889;9;11.4;106.9
1889;10;7.4;142.2
1889;11;2.8;71.3
1889;12;-2.8;25.9
1890;1;0.4;53.6
1890;2;-2.8;4.8
1890;3;3.4;30.6
1890;4;7.4;96.4
1890;5;13.7;111.2
1890;6;14.8;125.4
1890;7;15.6;137.7
1890;8;15.9;283.2
1890;9;11.8;37.2
1890;10;6.2;88.9
1890;11;3.2;50.7
1890;12;-4.7;17.3
1891;1;-5.8;24.7
1891;2;-3.1;10.6
1891;3;2.5;112
1891;4;5.5;103.2
1891;5;12.1;151
1891;6;15.8;98.8
1891;7;16;240.6
1891;8;14.9;124.9
1891;9;12.9;118.8
1891;10;8.5;85
1891;11;2.4;88.5
1891;12;0.5;65.8
1892;1;-1.6;80.4
1892;2;1.3;48.9
1892;3;0.6;38.1
1892;4;7.6;97.4
1892;5;12.3;61.3
1892;6;15.8;176.6
1892;7;16.4;201.7
1892;8;17.3;109.7
1892;9;13.2;187.1
1892;10;7.5;124.1
1892;11;5.7;60.2
1892;12;-1.5;34.5
1893;1;-5.2;41.7
1893;2;2;42.2
1893;3;4.8;31.1
1893;4;11.2;0.2
1893;5;12.2;159.3
1893;6;15.8;130.2
1893;7;16.9;173.1
1893;8;17.2;33
1893;9;13.1;107.7
1893;10;9.3;89.8
1893;11;2.6;110.7
1893;12;-0.9;34.9
1894;1;-2.4;26.6
1894;2;0.7;59.6
1894;3;4.3;49.9
1894;4;9.9;76.4
1894;5;11.6;124.6
1894;6;15.1;79.3
1894;7;17.5;155.2
1894;8;15.7;143.5
1894;9;11.7;161.8
1894;10;8.4;93.4
1894;11;3.9;34.5
1894;12;-0.8;30.2
1895;1;-4.3;66.1
1895;2;-6.8;36.7
1895;3;1.6;98.1
1895;4;9;81.9
1895;5;12;110.6
1895;6;15.7;127.4
1895;7;17.7;93
1895;8;16.1;188.5
1895;9;15.4;18.1
1895;10;7.5;102.8
1895;11;5.9;68
1895;12;1.9;93
1896;1;-1.3;15.3
1896;2;-1.3;12.1
1896;3;6.2;137.6
1896;4;5.9;168.3
1896;5;10.6;145.1
1896;6;15.7;119.5
1896;7;17.5;177.4
1896;8;13.9;164.3
1896;9;12.5;198.7
1896;10;7;123.5
1896;11;2;62.8
1896;12;0.3;38.1
1897;1;-1.6;41
1897;2;3.7;134.7
1897;3;6.5;76
1897;4;8;143.1
1897;5;10.4;128.5
1897;6;17.3;134.7
1897;7;17.6;137.6
1897;8;16.5;206.7
1897;9;11.7;258.7
1897;10;6.8;19.6
1897;11;2.8;15.7
1897;12;-0.3;29.8
1898;1;0.7;12.2
1898;2;1;85.6
1898;3;3.3;45.3
1898;4;8.5;92.9
1898;5;11.6;187.8
1898;6;14.5;192.7
1898;7;16.2;115.4
1898;8;17.8;87.4
1898;9;14;60.5
1898;10;9.7;132.2
1898;11;5;104.3
1898;12;0.3;47.1
1899;1;1.8;76.3
1899;2;2.1;28.4
1899;3;4;38.2
1899;4;7.9;139.9
1899;5;11.9;136.2
1899;6;15.8;77.3
1899;7;17.4;100.3
1899;8;18;63.9
1899;9;13;125.7
1899;10;8.5;102.2
1899;11;3.9;18.5
1899;12;-2.2;82.8
1900;1;1.2;113.2
1900;2;2.9;69.4
1900;3;0.6;65.3
1900;4;7.1;77.7
1900;5;11.1;147.8
1900;6;17;70.2
1900;7;18.3;267.1
1900;8;15.7;141.6
1900;9;14.9;55.3
1900;10;8.9;71.4
1900;11;4.8;75.5
1900;12;2;49.1
1901;1;-1.5;33.3
1901;2;-4.1;29.7
1901;3;2.5;89.1
1901;4;8.2;204.7
1901;5;13;34
1901;6;16.3;160.7
1901;7;17.9;145
1901;8;16.1;155.4
1901;9;13.5;171
1901;10;8.1;53.1
1901;11;1.4;39.4
1901;12;0.5;55.4
1902;1;0.6;33.6
1902;2;-0.3;88.9
1902;3;3.7;101.2
1902;4;10.2;74.5
1902;5;8.2;175.9
1902;6;14.8;102
1902;7;17.6;126.5
1902;8;15.9;140
1902;9;12.9;121.9
1902;10;7.7;163
1902;11;2.6;25.6
1902;12;-0.8;82
1903;1;-0.8;44.2
1903;2;1.6;46.7
1903;3;5.4;60.3
1903;4;5.2;61.7
1903;5;12.7;60.7
1903;6;14.1;176.9
1903;7;15.9;196.3
1903;8;16.2;138.3
1903;9;13.1;73.3
1903;10;9;128.4
1903;11;4.1;114.4
1903;12;-1;35.4
1904;1;-1.8;32.2
1904;2;1.7;115.2
1904;3;3.8;39
1904;4;9.7;109.9
1904;5;13.4;139.4
1904;6;16.5;168
1904;7;19.6;34.4
1904;8;17.4;103
1904;9;11.6;124.9
1904;10;8.6;69.1
1904;11;2.4;48.4
1904;12;1;48.8
1905;1;-2.9;35.6
1905;2;0.7;40.8
1905;3;4.7;100.9
1905;4;8.3;125.6
1905;5;10.9;137.5
1905;6;16.4;156.1
1905;7;19.6;125.4
1905;8;16.6;271.6
1905;9;13.5;161.9
1905;10;4.2;133.4
1905;11;3.1;72
1905;12;0;48.1
1906;1;0;52
1906;2;-0.2;48.3
1906;3;2.7;77.7
1906;4;7.5;60.7
1906;5;12.6;127
1906;6;15.1;168.7
1906;7;17.5;169.4
1906;8;17.4;91.3
1906;9;12.2;51.5
1906;10;10;47.8
1906;11;4.4;63.4
1906;12;-1.9;109.3
1907;1;-1.8;71.6
1907;2;-2.3;50
1907;3;2.2;70.9
1907;4;6.5;128.1
1907;5;12.9;76.5
1907;6;15.4;185.1
1907;7;15.3;134.9
1907;8;17.1;117.6
1907;9;13.2;75.4
1907;10;9.2;89.7
1907;11;4.3;21.9
1907;12;2.3;105.7
1908;1;-3;43.9
1908;2;0.5;69.5
1908;3;2.8;38.6
1908;4;6.1;76.7
1908;5;14.1;132.9
1908;6;17.8;81.5
1908;7;16.8;213.1
1908;8;15.3;82.9
1908;9;12.1;155.2
1908;10;7.9;7.6
1908;11;2;57.8
1908;12;-0.1;43.9
1909;1;-2.6;29.5
1909;2;-1.6;8.9
1909;3;1.5;67.1
1909;4;9.5;67
1909;5;11.7;70.5
1909;6;14.1;211.1
1909;7;15.1;197.9
1909;8;16.1;130.7
1909;9;12.4;102.5
1909;10;9.5;79.3
1909;11;2.1;52.2
1909;12;1.9;120.6
1910;1;0.4;170.5
1910;2;1;79.6
1910;3;3.9;41
1910;4;7.6;109.6
1910;5;11.1;156.9
1910;6;16.1;185.8
1910;7;15.4;166.5
1910;8;16;246.1
1910;9;10.9;173.7
1910;10;9.4;48.6
1910;11;2.8;192.7
1910;12;2.1;79
1911;1;-3.6;33.2
1911;2;0.5;39.6
1911;3;4;84.8
1911;4;7.2;67.8
1911;5;12.8;143
1911;6;15.4;191.4
1911;7;20.2;43.5
1911;8;19.8;88.6
1911;9;15;125.8
1911;10;8.3;62
1911;11;4.9;60
1911;12;2.6;79.7
1912;1;0.7;45.8
1912;2;3.4;70.3
1912;3;6.6;57.2
1912;4;7.4;64.3
1912;5;13.3;141.1
1912;6;15.7;262.1
1912;7;16.6;140
1912;8;13.8;205.7
1912;9;8.4;70.7
1912;10;6.6;155.8
1912;11;1.5;43.1
1912;12;0.7;43.9
1913;1;1;51.1
1913;2;0.3;24.7
1913;3;5.6;100.1
1913;4;7.8;98.3
1913;5;12.4;93.9
1913;6;15;197.5
1913;7;14.6;151.2
1913;8;15.5;147.1
1913;9;12.4;88
1913;10;9.1;23.9
1913;11;6.7;113.5
1913;12;1;73.2
1914;1;-3.8;85.8
1914;2;1.4;35.8
1914;3;5;120.6
1914;4;10.4;58.5
1914;5;10.6;219.9
1914;6;14.1;147.5
1914;7;15.9;227.9
1914;8;16.6;183.2
1914;9;12.6;92.5
1914;10;7.9;49.5
1914;11;2.8;57.2
1914;12;2.4;44.2
1915;1;0.4;66
1915;2;0.5;53
1915;3;2.6;105.3
1915;4;6.7;96.2
1915;5;14.6;87.6
1915;6;17.7;113.5
1915;7;16.5;184.6
1915;8;15.4;139.1
1915;9;11.1;111.4
1915;10;6.2;28.6
1915;11;1.5;43.5
1915;12;3.4;88.9
1916;1;3.1;60.5
1916;2;2.2;88.2
1916;3;4.1;87.9
1916;4;8.2;62.9
1916;5;13.2;108.8
1916;6;13.3;195.4
1916;7;16.5;170.8
1916;8;16.2;90.9
1916;9;11.1;121.2
1916;10;8.2;115.4
1916;11;3.8;89.6
1916;12;1.4;102.1
