time;hns000d0;hto000d0
19521101;-;0
19521102;-;0
19521103;-;0
19521104;-;10
19521105;-;8
19521106;-;8
19521107;-;8
19521108;-;17
19521109;-;43
19521110;-;41
19521111;-;25
19521112;-;28
19521113;-;34
19521114;-;41
19521115;-;42
19521116;-;42
19521117;-;34
19521118;-;34
19521119;-;30
19521120;-;40
19521121;-;35
19521122;-;35
19521123;-;42
19521124;-;37
19521125;-;36
19521126;-;28
19521127;-;21
19521128;-;18
19521129;-;15
19521130;0;13
19521201;0;13
19521202;0;9
19521203;13;7
19521204;7;19
19521205;1;20
19521206;2;18
19521207;0;15
19521208;0;14
19521209;0;12
19521210;0;12
19521211;1;12
19521212;2;10
19521213;7;12
19521214;13;17
19521215;12;25
19521216;11;30
19521217;17;25
19521218;20;33
19521219;1;53
19521220;3;46
19521221;1;45
19521222;2;44
19521223;0;44
19521224;0;43
19521225;1;43
19521226;0;43
19521227;0;43
19521228;0;43
19521229;0;43
19521230;0;42
19521231;0;42
19530101;0;42
19530102;7;41
19530103;2;45
19530104;0;47
19530105;1;47
19530106;1;48
19530107;0;47
19530108;3;43
19530109;8;45
19530110;16;51
19530111;2;62
19530112;0;60
19530113;0;55
19530114;0;54
19530115;0;54
19530116;0;52
19530117;0;50
19530118;0;50
19530119;0;49
19530120;0;46
19530121;0;45
19530122;0;45
19530123;0;45
19530124;0;45
19530125;29;45
19530126;1;70
19530127;0;63
19530128;0;60
19530129;0;53
19530130;0;53
19530131;5;52
19530201;30;53
19530202;25;70
19530203;0;85
19530204;0;77
19530205;20;73
19530206;15;85
19530207;15;90
19530208;1;89
19530209;4;83
19530210;11;83
19530211;19;91
19530212;23;100
19530213;0;103
19530214;0;99
19530215;5;95
19530216;5;90
19530217;0;93
19530218;0;90
19530219;0;85
19530220;0;83
19530221;0;75
19530222;0;70
19530223;0;68
19530224;0;67
19530225;0;67
19530226;0;66
19530227;0;65
19530228;0;63
19530301;0;55
19530302;0;60
19530303;0;58
19530304;0;55
19530305;0;51
19530306;0;49
19530307;5;45
19530308;0;50
19530309;0;43
19530310;0;43
19530311;7;41
19530312;0;49
19530313;0;45
19530314;0;44
19530315;0;44
19530316;0;40
19530317;0;34
19530318;0;31
19530319;0;29
19530320;0;27
19530321;0;24
19530322;0;18
19530323;0;12
19530324;0;6
19530325;0;0
19530326;0;0
19530327;0;0
19530328;0;0
19530329;0;0
19530330;-;0
19530331;-;0
19530401;-;0
19530402;-;0
19530403;-;0
19530404;-;0
19530405;-;1
19530406;-;0
19530407;-;0
19530408;-;0
19530409;-;0
19530410;-;7
19530411;-;12
19530412;-;5
19530413;-;2
19530414;-;4
19530415;-;15
19530416;-;30
19530417;-;17
19530418;-;8
19530419;-;1
19530420;-;0
19530421;-;0
19530422;-;0
19530423;-;0
19530424;-;0
19530425;-;0
19530426;-;0
19530427;-;0
19530428;-;0
19530429;-;2
19530430;-;-
19530501;-;-
19530502;-;-
19530503;-;-
19530504;-;-
19530505;-;-
19530506;-;-
19530507;-;-
19530508;-;-
19530509;-;-
19530510;-;-
19530511;-;-
19530512;-;-
19530513;-;-
19530514;-;-
19530515;-;-
19530516;-;-
19530517;-;-
19530518;-;-
19530519;-;-
19530520;-;-
19530521;-;-
19530522;-;-
19530523;-;-
19530524;-;-
19530525;-;-
19530526;-;-
19530527;-;-
19530528;-;-
19530529;-;-
19530530;-;-
19530531;-;-
19530601;-;-
19530602;-;-
19530603;-;-
19530604;-;-
19530605;-;-
19530606;-;-
19530607;-;-
19530608;-;-
19530609;-;-
19530610;-;-
19530611;-;-
19530612;-;-
19530613;-;-
19530614;-;-
19530615;-;-
19530616;-;-
19530617;-;-
19530618;-;-
19530619;-;-
19530620;-;-
19530621;-;-
19530622;-;-
19530623;-;-
19530624;-;-
19530625;-;-
19530626;-;-
19530627;-;-
19530628;-;-
19530629;-;-
19530630;-;-
19530701;-;-
19530702;-;-
19530703;-;-
19530704;-;-
19530705;-;-
19530706;-;-
19530707;-;-
19530708;-;-
19530709;-;-
19530710;-;-
19530711;-;-
19530712;-;-
19530713;-;-
19530714;-;-
19530715;-;-
19530716;-;-
19530717;-;-
19530718;-;-
19530719;-;-
19530720;-;-
19530721;-;-
19530722;-;-
19530723;-;-
19530724;-;-
19530725;-;-
19530726;-;-
19530727;-;-
19530728;-;-
19530729;-;-
19530730;-;-
19530731;-;-
19530801;-;-
19530802;-;-
19530803;-;-
19530804;-;-
19530805;-;-
19530806;-;-
19530807;-;-
19530808;-;-
19530809;-;-
19530810;-;-
19530811;-;-
19530812;-;-
19530813;-;-
19530814;-;-
19530815;-;-
19530816;-;-
19530817;-;-
19530818;-;-
19530819;-;-
19530820;-;-
19530821;-;-
19530822;-;-
19530823;-;-
19530824;-;-
19530825;-;-
19530826;-;-
19530827;-;-
19530828;-;-
19530829;-;-
19530830;-;-
19530831;-;-
19530901;-;-
19530902;-;-
19530903;-;-
19530904;-;-
19530905;-;-
19530906;-;-
19530907;-;-
19530908;-;-
19530909;-;-
19530910;-;-
19530911;-;-
19530912;-;-
19530913;-;-
19530914;-;-
19530915;-;-
19530916;-;-
19530917;-;-
19530918;-;-
19530919;-;-
19530920;-;-
19530921;-;-
19530922;-;-
19530923;-;-
19530924;-;-
19530925;-;-
19530926;-;-
19530927;-;-
19530928;-;-
19530929;-;-
19530930;-;-
19531001;-;-
19531002;-;-
19531003;-;-
19531004;-;-
19531005;-;-
19531006;-;-
19531007;-;-
19531008;-;-
19531009;-;-
19531010;-;-
19531011;-;-
19531012;-;-
19531013;-;-
19531014;-;-
19531015;0;-
19531016;0;0
19531017;0;0
19531018;0;0
19531019;0;0
19531020;0;0
19531021;0;0
19531022;0;0
19531023;0;0
19531024;0;0
19531025;0;0
19531026;0;0
19531027;0;0
19531028;11;0
19531029;0;11
19531030;0;11
19531031;0;11
19531101;0;2
19531102;0;0
19531103;0;0
19531104;0;0
19531105;0;0
19531106;6;0
19531107;0;6
19531108;0;3
19531109;0;0
19531110;0;0
19531111;0;0
19531112;0;0
19531113;0;0
19531114;0;0
19531115;0;0
19531116;0;0
19531117;0;0
19531118;0;0
19531119;0;0
19531120;0;0
19531121;0;0
19531122;0;0
19531123;0;0
19531124;0;0
19531125;0;0
19531126;0;0
19531127;0;0
19531128;0;0
19531129;0;0
19531130;0;0
19531201;0;0
19531202;0;0
19531203;0;0
19531204;0;0
19531205;0;0
19531206;0;0
19531207;0;0
19531208;0;0
19531209;0;0
19531210;0;0
19531211;0;0
19531212;0;0
19531213;0;0
19531214;0;0
19531215;0;0
19531216;0;0
19531217;0;0
19531218;0;0
19531219;0;0
19531220;1;0
19531221;0;1
19531222;0;1
19531223;0;1
19531224;0;0
19531225;6;0
19531226;4;6
19531227;4;8
19531228;12;9
19531229;26;21
19531230;13;43
19531231;10;45
19540101;4;48
19540102;0;40
19540103;4;40
19540104;8;34
19540105;0;40
19540106;4;30
19540107;6;34
19540108;2;33
19540109;34;30
19540110;60;48
19540111;60;65
19540112;0;90
19540113;4;78
19540114;3;74
19540115;0;70
19540116;0;50
19540117;1;40
19540118;0;35
19540119;0;34
19540120;0;34
19540121;0;32
19540122;0;30
19540123;0;30
19540124;0;30
19540125;0;30
19540126;0;30
19540127;1;30
19540128;0;30
19540129;0;30
19540130;5;30
19540131;1;35
19540201;0;35
19540202;1;35
19540203;1;33
19540204;0;33
19540205;0;33
19540206;0;33
19540207;0;33
19540208;6;32
19540209;20;38
19540210;0;58
19540211;7;40
19540212;0;47
19540213;0;42
19540214;0;35
19540215;0;35
19540216;0;35
19540217;0;35
19540218;0;35
19540219;1;35
19540220;2;35
19540221;0;37
19540222;0;36
19540223;0;35
19540224;0;35
19540225;0;35
19540226;28;31
19540227;8;58
19540228;9;58
19540301;3;55
19540302;0;53
19540303;1;48
19540304;1;48
19540305;22;48
19540306;0;70
19540307;0;62
19540308;0;56
19540309;0;50
19540310;0;48
19540311;0;45
19540312;1;43
19540313;0;42
19540314;0;32
19540315;0;30
19540316;0;27
19540317;0;23
19540318;0;18
19540319;0;15
19540320;0;12
19540321;0;10
19540322;0;8
19540323;2;4
19540324;0;2
19540325;0;0
19540326;0;0
19540327;0;0
19540328;0;0
19540329;0;0
19540330;0;0
19540331;1;0
19540401;14;1
19540402;0;14
