"Jahr";"Monat";"Gemeinde";"Logiernächte"
"2013";"Januar";"Morschach";16558
"2013";"Februar";"Morschach";22604
"2013";"März";"Morschach";15682
"2013";"April";"Morschach";17099
"2013";"Mai";"Morschach";15955
"2013";"Juni";"Morschach";12626
"2013";"Juli";"Morschach";18935
"2013";"August";"Morschach";20408
"2013";"September";"Morschach";14288
"2013";"Oktober";"Morschach";20468
"2013";"November";"Morschach";10664
"2013";"Dezember";"Morschach";12793
"2014";"Januar";"Morschach";15418
"2014";"Februar";"Morschach";20105
"2014";"März";"Morschach";15287
"2014";"April";"Morschach";16489
"2014";"Mai";"Morschach";13628
"2014";"Juni";"Morschach";14923
"2014";"Juli";"Morschach";20537
"2014";"August";"Morschach";20149
"2014";"September";"Morschach";14360
"2014";"Oktober";"Morschach";21372
"2014";"November";"Morschach";10737
"2014";"Dezember";"Morschach";13715
"2015";"Januar";"Morschach";15869
"2015";"Februar";"Morschach";21748
"2015";"März";"Morschach";12390
"2015";"April";"Morschach";15054
"2015";"Mai";"Morschach";13770
"2015";"Juni";"Morschach";12512
"2015";"Juli";"Morschach";20266
"2015";"August";"Morschach";20750
"2015";"September";"Morschach";14319
"2015";"Oktober";"Morschach";21216
"2015";"November";"Morschach";9754
"2015";"Dezember";"Morschach";13121
"2016";"Januar";"Morschach";14656
"2016";"Februar";"Morschach";23915
"2016";"März";"Morschach";15450
"2016";"April";"Morschach";16286
"2016";"Mai";"Morschach";14516
"2016";"Juni";"Morschach";12626
"2016";"Juli";"Morschach";20729
"2016";"August";"Morschach";20495
"2016";"September";"Morschach";13040
"2016";"Oktober";"Morschach";22861
"2016";"November";"Morschach";10677
"2016";"Dezember";"Morschach";11464
"2017";"Januar";"Morschach";15193
"2017";"Februar";"Morschach";22675
"2017";"März";"Morschach";13471
"2017";"April";"Morschach";17143
"2017";"Mai";"Morschach";11563
"2017";"Juni";"Morschach";13924
"2017";"Juli";"Morschach";20917
"2017";"August";"Morschach";20265
"2017";"September";"Morschach";13828
"2017";"Oktober";"Morschach";22708
"2017";"November";"Morschach";11054
"2017";"Dezember";"Morschach";11436
"2018";"Januar";"Morschach";15250
"2018";"Februar";"Morschach";22578
"2018";"März";"Morschach";14978
"2018";"April";"Morschach";16143
"2018";"Mai";"Morschach";16724
"2018";"Juni";"Morschach";14931
"2018";"Juli";"Morschach";21842
"2018";"August";"Morschach";22069
"2018";"September";"Morschach";14675
"2018";"Oktober";"Morschach";21087
"2018";"November";"Morschach";12068
"2018";"Dezember";"Morschach";12495
"2019";"Januar";"Morschach";14802
"2019";"Februar";"Morschach";19621
"2019";"März";"Morschach";14848
"2019";"April";"Morschach";16927
"2019";"Mai";"Morschach";14102
"2019";"Juni";"Morschach";15882
"2019";"Juli";"Morschach";22044
"2019";"August";"Morschach";21721
"2019";"September";"Morschach";13466
"2019";"Oktober";"Morschach";22035
"2019";"November";"Morschach";11776
"2019";"Dezember";"Morschach";11989
"2020";"Januar";"Morschach";14823
"2020";"Februar";"Morschach";21188
"2020";"März";"Morschach";5336
"2020";"April";"Morschach";287
"2020";"Mai";"Morschach";8153
"2020";"Juni";"Morschach";14811
"2020";"Juli";"Morschach";27618
"2020";"August";"Morschach";23387
"2020";"September";"Morschach";20632
"2020";"Oktober";"Morschach";24797
"2020";"November";"Morschach";12545
"2020";"Dezember";"Morschach";14889
"2021";"Januar";"Morschach";14834
"2021";"Februar";"Morschach";23755
"2021";"März";"Morschach";21372
"2021";"April";"Morschach";26434
"2021";"Mai";"Morschach";26002
"2021";"Juni";"Morschach";21620
"2021";"Juli";"Morschach";27715
"2021";"August";"Morschach";26051
"2021";"September";"Morschach";17902
"2021";"Oktober";"Morschach";26637
"2021";"November";"Morschach";15051
"2021";"Dezember";"Morschach";22329
"2022";"Januar";"Morschach";14944
"2022";"Februar";"Morschach";22438
"2022";"März";"Morschach";17766
"2022";"April";"Morschach";22418
"2022";"Mai";"Morschach";15683
"2022";"Juni";"Morschach";18297
"2022";"Juli";"Morschach";25955
"2022";"August";"Morschach";...
"2022";"September";"Morschach";...
"2022";"Oktober";"Morschach";...
"2022";"November";"Morschach";...
"2022";"Dezember";"Morschach";...
