 

stn;time;hto000d0
SLF7DI;19800101;140
SLF7DI;19800102;140
SLF7DI;19800103;146
SLF7DI;19800104;149
SLF7DI;19800105;164
SLF7DI;19800106;160
SLF7DI;19800107;150
SLF7DI;19800108;150
SLF7DI;19800109;150
SLF7DI;19800110;140
SLF7DI;19800111;135
SLF7DI;19800112;130
SLF7DI;19800113;130
SLF7DI;19800114;130
SLF7DI;19800115;132
SLF7DI;19800116;134
SLF7DI;19800117;134
SLF7DI;19800118;136
SLF7DI;19800119;136
SLF7DI;19800120;130
SLF7DI;19800121;130
SLF7DI;19800122;130
SLF7DI;19800123;132
SLF7DI;19800124;132
SLF7DI;19800125;132
SLF7DI;19800126;130
SLF7DI;19800127;130
SLF7DI;19800128;130
SLF7DI;19800129;130
SLF7DI;19800130;130
SLF7DI;19800131;130
SLF7DI;19800201;155
SLF7DI;19800202;150
SLF7DI;19800203;150
SLF7DI;19800204;158
SLF7DI;19800205;158
SLF7DI;19800206;158
SLF7DI;19800207;155
SLF7DI;19800208;155
SLF7DI;19800209;150
SLF7DI;19800210;150
SLF7DI;19800211;152
SLF7DI;19800212;150
SLF7DI;19800213;150
SLF7DI;19800214;150
SLF7DI;19800215;150
SLF7DI;19800216;145
SLF7DI;19800217;140
SLF7DI;19800218;140
SLF7DI;19800219;140
SLF7DI;19800220;130
SLF7DI;19800221;130
SLF7DI;19800222;130
SLF7DI;19800223;130
SLF7DI;19800224;130
SLF7DI;19800225;130
SLF7DI;19800226;120
SLF7DI;19800227;120
SLF7DI;19800228;120
SLF7DI;19800229;120
SLF7DI;19800301;118
SLF7DI;19800302;115
SLF7DI;19800303;112
SLF7DI;19800304;108
SLF7DI;19800305;104
SLF7DI;19800306;102
SLF7DI;19800307;100
SLF7DI;19800308;102
SLF7DI;19800309;102
SLF7DI;19800310;100
SLF7DI;19800311;100
SLF7DI;19800312;100
SLF7DI;19800313;100
SLF7DI;19800314;114
SLF7DI;19800315;112
SLF7DI;19800316;108
SLF7DI;19800317;105
SLF7DI;19800318;102
SLF7DI;19800319;100
SLF7DI;19800320;100
SLF7DI;19800321;110
SLF7DI;19800322;108
SLF7DI;19800323;107
SLF7DI;19800324;109
SLF7DI;19800325;130
SLF7DI;19800326;129
SLF7DI;19800327;127
SLF7DI;19800328;125
SLF7DI;19800329;123
SLF7DI;19800330;122
SLF7DI;19800331;122
SLF7DI;19800401;125
SLF7DI;19800402;123
SLF7DI;19800403;120
SLF7DI;19800404;118
SLF7DI;19800405;115
SLF7DI;19800406;110
SLF7DI;19800407;108
SLF7DI;19800408;104
SLF7DI;19800409;100
SLF7DI;19800410;96
SLF7DI;19800411;92
SLF7DI;19800412;88
SLF7DI;19800413;84
SLF7DI;19800414;80
SLF7DI;19800415;76
SLF7DI;19800416;75
SLF7DI;19800417;75
SLF7DI;19800418;72
SLF7DI;19800419;71
SLF7DI;19800420;70
SLF7DI;19800421;70
SLF7DI;19800422;70
SLF7DI;19800423;70
SLF7DI;19800424;70
SLF7DI;19800425;68
SLF7DI;19800426;64
SLF7DI;19800427;60
SLF7DI;19800428;60
SLF7DI;19800429;58
SLF7DI;19800430;55
SLF7DI;19800501;55
SLF7DI;19800502;53
SLF7DI;19800503;48
SLF7DI;19800504;47
SLF7DI;19800505;50
SLF7DI;19800506;48
SLF7DI;19800507;44
SLF7DI;19800508;36
SLF7DI;19800509;45
SLF7DI;19800510;40
SLF7DI;19800511;35
SLF7DI;19800512;30
SLF7DI;19800513;20
SLF7DI;19800514;12
SLF7DI;19800515;6
SLF7DI;19800516;0
SLF7DI;19800517;0
SLF7DI;19800518;0
SLF7DI;19800519;0
SLF7DI;19800520;0
SLF7DI;19800521;0
SLF7DI;19800522;0
SLF7DI;19800523;0
SLF7DI;19800524;0
SLF7DI;19800525;0
SLF7DI;19800526;0
SLF7DI;19800527;0
SLF7DI;19800528;0
SLF7DI;19800529;0
SLF7DI;19800530;0
SLF7DI;19800531;-
SLF7DI;19800601;-
SLF7DI;19800602;-
SLF7DI;19800603;-
SLF7DI;19800604;-
SLF7DI;19800605;-
SLF7DI;19800606;-
SLF7DI;19800607;-
SLF7DI;19800608;-
SLF7DI;19800609;-
SLF7DI;19800610;-
SLF7DI;19800611;-
SLF7DI;19800612;-
SLF7DI;19800613;-
SLF7DI;19800614;-
SLF7DI;19800615;-
SLF7DI;19800616;-
SLF7DI;19800617;-
SLF7DI;19800618;-
SLF7DI;19800619;-
SLF7DI;19800620;-
SLF7DI;19800621;-
SLF7DI;19800622;-
SLF7DI;19800623;-
SLF7DI;19800624;-
SLF7DI;19800625;-
SLF7DI;19800626;-
SLF7DI;19800627;-
SLF7DI;19800628;-
SLF7DI;19800629;-
SLF7DI;19800630;-
SLF7DI;19800701;-
SLF7DI;19800702;-
SLF7DI;19800703;-
SLF7DI;19800704;-
SLF7DI;19800705;-
SLF7DI;19800706;-
SLF7DI;19800707;-
SLF7DI;19800708;-
SLF7DI;19800709;-
SLF7DI;19800710;-
SLF7DI;19800711;-
SLF7DI;19800712;-
SLF7DI;19800713;-
SLF7DI;19800714;-
SLF7DI;19800715;-
SLF7DI;19800716;-
SLF7DI;19800717;-
SLF7DI;19800718;-
SLF7DI;19800719;-
SLF7DI;19800720;-
SLF7DI;19800721;-
SLF7DI;19800722;-
SLF7DI;19800723;-
SLF7DI;19800724;-
SLF7DI;19800725;-
SLF7DI;19800726;-
SLF7DI;19800727;-
SLF7DI;19800728;-
SLF7DI;19800729;-
SLF7DI;19800730;-
SLF7DI;19800731;-
SLF7DI;19800801;-
SLF7DI;19800802;-
SLF7DI;19800803;-
SLF7DI;19800804;-
SLF7DI;19800805;-
SLF7DI;19800806;-
SLF7DI;19800807;-
SLF7DI;19800808;-
SLF7DI;19800809;-
SLF7DI;19800810;-
SLF7DI;19800811;-
SLF7DI;19800812;-
SLF7DI;19800813;-
SLF7DI;19800814;-
SLF7DI;19800815;-
SLF7DI;19800816;-
SLF7DI;19800817;-
SLF7DI;19800818;-
SLF7DI;19800819;-
SLF7DI;19800820;-
SLF7DI;19800821;-
SLF7DI;19800822;-
SLF7DI;19800823;-
SLF7DI;19800824;-
SLF7DI;19800825;-
SLF7DI;19800826;-
SLF7DI;19800827;-
SLF7DI;19800828;-
SLF7DI;19800829;-
SLF7DI;19800830;-
SLF7DI;19800831;-
SLF7DI;19800901;-
SLF7DI;19800902;-
SLF7DI;19800903;-
SLF7DI;19800904;-
SLF7DI;19800905;-
SLF7DI;19800906;-
SLF7DI;19800907;-
SLF7DI;19800908;-
SLF7DI;19800909;-
SLF7DI;19800910;-
SLF7DI;19800911;-
SLF7DI;19800912;-
SLF7DI;19800913;-
SLF7DI;19800914;-
SLF7DI;19800915;-
SLF7DI;19800916;-
SLF7DI;19800917;-
SLF7DI;19800918;-
SLF7DI;19800919;-
SLF7DI;19800920;-
SLF7DI;19800921;-
SLF7DI;19800922;-
SLF7DI;19800923;-
SLF7DI;19800924;-
SLF7DI;19800925;-
SLF7DI;19800926;-
SLF7DI;19800927;-
SLF7DI;19800928;-
SLF7DI;19800929;-
SLF7DI;19800930;-
SLF7DI;19801001;0
SLF7DI;19801002;0
SLF7DI;19801003;0
SLF7DI;19801004;0
SLF7DI;19801005;0
SLF7DI;19801006;0
SLF7DI;19801007;0
SLF7DI;19801008;0
SLF7DI;19801009;10
SLF7DI;19801010;10
SLF7DI;19801011;10
SLF7DI;19801012;20
SLF7DI;19801013;20
SLF7DI;19801014;15
SLF7DI;19801015;10
SLF7DI;19801016;11
SLF7DI;19801017;12
SLF7DI;19801018;15
SLF7DI;19801019;22
SLF7DI;19801020;20
SLF7DI;19801021;20
SLF7DI;19801022;20
SLF7DI;19801023;18
SLF7DI;19801024;17
SLF7DI;19801025;55
SLF7DI;19801026;48
SLF7DI;19801027;45
SLF7DI;19801028;40
SLF7DI;19801029;37
SLF7DI;19801030;34
SLF7DI;19801031;32
SLF7DI;19801101;30
SLF7DI;19801102;30
SLF7DI;19801103;42
SLF7DI;19801104;40
SLF7DI;19801105;47
SLF7DI;19801106;49
SLF7DI;19801107;51
SLF7DI;19801108;51
SLF7DI;19801109;50
SLF7DI;19801110;50
SLF7DI;19801111;50
SLF7DI;19801112;50
SLF7DI;19801113;60
SLF7DI;19801114;55
SLF7DI;19801115;50
SLF7DI;19801116;45
SLF7DI;19801117;40
SLF7DI;19801118;40
SLF7DI;19801119;40
SLF7DI;19801120;40
SLF7DI;19801121;40
SLF7DI;19801122;35
SLF7DI;19801123;35
SLF7DI;19801124;35
SLF7DI;19801125;35
SLF7DI;19801126;35
SLF7DI;19801127;50
SLF7DI;19801128;67
SLF7DI;19801129;64
SLF7DI;19801130;62
SLF7DI;19801201;60
SLF7DI;19801202;60
SLF7DI;19801203;60
SLF7DI;19801204;60
SLF7DI;19801205;55
SLF7DI;19801206;50
SLF7DI;19801207;54
SLF7DI;19801208;50
SLF7DI;19801209;50
SLF7DI;19801210;50
SLF7DI;19801211;50
SLF7DI;19801212;50
SLF7DI;19801213;50
