stn;time;tre200dn
ARO;19500101;-5.8
ARO;19500102;-5.0
ARO;19500103;-6.2
ARO;19500104;-7.2
ARO;19500105;-8.1
ARO;19500106;-9.0
ARO;19500107;-8.2
ARO;19500108;-7.1
ARO;19500109;-2.8
ARO;19500110;-4.7
ARO;19500111;-4.8
ARO;19500112;-2.8
ARO;19500113;-7.7
ARO;19500114;-7.1
ARO;19500115;-2.4
ARO;19500116;-4.4
ARO;19500117;-9.1
ARO;19500118;-10.1
ARO;19500119;-14.2
ARO;19500120;-17.0
ARO;19500121;-13.0
ARO;19500122;-8.3
ARO;19500123;-14.0
ARO;19500124;-17.1
ARO;19500125;-16.4
ARO;19500126;-10.9
ARO;19500127;-9.0
ARO;19500128;-9.2
ARO;19500129;-12.0
ARO;19500130;-11.5
ARO;19500131;-10.0
ARO;19500201;-8.2
ARO;19500202;-8.2
ARO;19500203;-7.2
ARO;19500204;-4.4
ARO;19500205;-1.8
ARO;19500206;-3.6
ARO;19500207;-10.3
ARO;19500208;-11.7
ARO;19500209;-9.5
ARO;19500210;-9.2
ARO;19500211;-3.7
ARO;19500212;-7.2
ARO;19500213;-9.0
ARO;19500214;-10.6
ARO;19500215;-13.5
ARO;19500216;-3.6
ARO;19500217;-1.0
ARO;19500218;01. Jan
ARO;19500219;0.1
ARO;19500220;-0.1
ARO;19500221;-5.5
ARO;19500222;-11.1
ARO;19500223;-11.2
ARO;19500224;-4.5
ARO;19500225;-5.4
ARO;19500226;-9.0
ARO;19500227;-13.0
ARO;19500228;-15.8
ARO;19500301;-15.7
ARO;19500302;-15.2
ARO;19500303;-13.4
ARO;19500304;-8.0
ARO;19500305;-4.9
ARO;19500306;-4.9
ARO;19500307;-0.4
ARO;19500308;01. Feb
ARO;19500309;-1.0
ARO;19500310;-6.2
ARO;19500311;-7.5
ARO;19500312;-7.5
ARO;19500313;-7.4
ARO;19500314;-9.4
ARO;19500315;-5.3
ARO;19500316;-3.3
ARO;19500317;-2.5
ARO;19500318;-2.0
ARO;19500319;0.5
ARO;19500320;-1.5
ARO;19500321;-1.7
ARO;19500322;-2.8
ARO;19500323;-4.3
ARO;19500324;-3.0
ARO;19500325;-4.0
ARO;19500326;-7.0
ARO;19500327;-5.7
ARO;19500328;-3.6
ARO;19500329;-3.4
ARO;19500330;-4.2
ARO;19500331;-4.6
ARO;19500401;-5.5
ARO;19500402;-5.9
ARO;19500403;-5.8
ARO;19500404;-6.5
ARO;19500405;-7.6
ARO;19500406;-7.1
ARO;19500407;-5.9
ARO;19500408;-1.9
ARO;19500409;01. Jul
ARO;19500410;-4.2
ARO;19500411;-2.7
ARO;19500412;-4.5
ARO;19500413;-2.1
ARO;19500414;-4.2
ARO;19500415;-5.1
ARO;19500416;-7.5
ARO;19500417;-6.9
ARO;19500418;-6.4
ARO;19500419;-3.5
ARO;19500420;-1.7
ARO;19500421;-0.7
ARO;19500422;-0.4
ARO;19500423;-1.6
ARO;19500424;-2.3
ARO;19500425;-11.1
ARO;19500426;-13.0
ARO;19500427;-9.4
ARO;19500428;-8.4
ARO;19500429;-4.7
ARO;19500430;-0.5
ARO;19500501;01. Feb
ARO;19500502;02. Mrz
ARO;19500503;-0.1
ARO;19500504;-1.7
ARO;19500505;-0.8
ARO;19500506;-0.7
ARO;19500507;0.2
ARO;19500508;-0.2
ARO;19500509;1.0
ARO;19500510;02. Jun
ARO;19500511;02. Jun
ARO;19500512;0.5
ARO;19500513;02. Mai
ARO;19500514;02. Feb
ARO;19500515;01. Mrz
ARO;19500516;02. Mai
ARO;19500517;03. Mai
