 

stn;time;hto000d0
HOY;19721022;90
HOY;19721023;100
HOY;19721024;99
HOY;19721025;95
HOY;19721026;92
HOY;19721027;85
HOY;19721028;82
HOY;19721029;49
HOY;19721030;30
HOY;19721031;25
HOY;19721101;23
HOY;19721102;20
HOY;19721103;19
HOY;19721104;18
HOY;19721105;17
HOY;19721106;16
HOY;19721107;15
HOY;19721108;13
HOY;19721109;12
HOY;19721110;11
HOY;19721111;10
HOY;19721112;5
HOY;19721113;50
HOY;19721114;25
HOY;19721115;20
HOY;19721116;27
HOY;19721117;33
HOY;19721118;24
HOY;19721119;23
HOY;19721120;26
HOY;19721121;24
HOY;19721122;25
HOY;19721123;35
HOY;19721124;50
HOY;19721125;65
HOY;19721126;80
HOY;19721127;85
HOY;19721128;80
HOY;19721129;75
HOY;19721130;70
HOY;19721201;70
HOY;19721202;70
HOY;19721203;70
HOY;19721204;70
HOY;19721205;65
HOY;19721206;70
HOY;19721207;70
HOY;19721208;70
HOY;19721209;67
HOY;19721210;70
HOY;19721211;75
HOY;19721212;75
HOY;19721213;75
HOY;19721214;70
HOY;19721215;70
HOY;19721216;65
HOY;19721217;65
HOY;19721218;60
HOY;19721219;60
HOY;19721220;60
HOY;19721221;60
HOY;19721222;60
HOY;19721223;60
HOY;19721224;60
HOY;19721225;60
HOY;19721226;60
HOY;19721227;55
HOY;19721228;55
HOY;19721229;55
HOY;19721230;55
HOY;19721231;55
HOY;19730101;55
HOY;19730102;50
HOY;19730103;50
HOY;19730104;53
HOY;19730105;53
HOY;19730106;50
HOY;19730107;50
HOY;19730108;50
HOY;19730109;50
HOY;19730110;50
HOY;19730111;50
HOY;19730112;50
HOY;19730113;50
HOY;19730114;50
HOY;19730115;50
HOY;19730116;50
HOY;19730117;70
HOY;19730118;75
HOY;19730119;75
HOY;19730120;77
HOY;19730121;77
HOY;19730122;77
HOY;19730123;80
HOY;19730124;80
HOY;19730125;80
HOY;19730126;80
HOY;19730127;80
HOY;19730128;87
HOY;19730129;130
HOY;19730130;137
HOY;19730131;130
HOY;19730201;137
HOY;19730202;137
HOY;19730203;130
HOY;19730204;130
HOY;19730205;130
HOY;19730206;130
HOY;19730207;130
HOY;19730208;130
HOY;19730209;125
HOY;19730210;130
HOY;19730211;170
HOY;19730212;175
HOY;19730213;184
HOY;19730214;180
HOY;19730215;175
HOY;19730216;175
HOY;19730217;170
HOY;19730218;175
HOY;19730219;180
HOY;19730220;180
HOY;19730221;175
HOY;19730222;180
HOY;19730223;195
HOY;19730224;220
HOY;19730225;240
HOY;19730226;250
HOY;19730227;260
HOY;19730228;250
HOY;19730301;250
HOY;19730302;240
HOY;19730303;250
HOY;19730304;240
HOY;19730305;240
HOY;19730306;230
HOY;19730307;250
HOY;19730308;250
HOY;19730309;250
HOY;19730310;240
HOY;19730311;230
HOY;19730312;230
HOY;19730313;220
HOY;19730314;210
HOY;19730315;210
HOY;19730316;210
HOY;19730317;210
HOY;19730318;210
HOY;19730319;210
HOY;19730320;210
HOY;19730321;200
HOY;19730322;200
HOY;19730323;200
HOY;19730324;200
HOY;19730325;190
HOY;19730326;190
HOY;19730327;180
HOY;19730328;180
HOY;19730329;170
HOY;19730330;160
HOY;19730331;160
HOY;19730401;150
HOY;19730402;140
HOY;19730403;160
HOY;19730404;170
HOY;19730405;160
HOY;19730406;140
HOY;19730407;140
HOY;19730408;150
HOY;19730409;150
HOY;19730410;170
HOY;19730411;180
HOY;19730412;190
HOY;19730413;210
HOY;19730414;210
HOY;19730415;200
HOY;19730416;200
HOY;19730417;190
HOY;19730418;200
HOY;19730419;200
HOY;19730420;220
HOY;19730421;240
HOY;19730422;220
HOY;19730423;210
HOY;19730424;200
HOY;19730425;200
HOY;19730426;190
HOY;19730427;180
HOY;19730428;180
HOY;19730429;170
HOY;19730430;160
HOY;19730501;155
HOY;19730502;150
HOY;19730503;150
HOY;19730504;150
HOY;19730505;147
HOY;19730506;147
HOY;19730507;145
HOY;19730508;149
HOY;19730509;160
HOY;19730510;165
HOY;19730511;160
HOY;19730512;155
HOY;19730513;145
HOY;19730514;130
HOY;19730515;105
HOY;19730516;85
HOY;19730517;70
HOY;19730518;60
HOY;19730519;55
HOY;19730520;50
HOY;19730521;45
HOY;19730522;40
HOY;19730523;35
HOY;19730524;30
HOY;19730525;25
HOY;19730526;20
HOY;19730527;15
HOY;19730528;10
HOY;19730529;5
HOY;19730530;0
HOY;19730531;0
HOY;19730601;-
HOY;19730602;-
HOY;19730603;-
HOY;19730604;-
HOY;19730605;-
HOY;19730606;-
HOY;19730607;-
HOY;19730608;-
HOY;19730609;-
HOY;19730610;-
HOY;19730611;-
HOY;19730612;-
HOY;19730613;-
HOY;19730614;-
HOY;19730615;-
HOY;19730616;-
HOY;19730617;-
HOY;19730618;-
HOY;19730619;-
HOY;19730620;-
HOY;19730621;-
HOY;19730622;-
HOY;19730623;-
HOY;19730624;-
HOY;19730625;-
HOY;19730626;-
HOY;19730627;-
HOY;19730628;-
HOY;19730629;-
HOY;19730630;-
HOY;19730701;-
HOY;19730702;-
HOY;19730703;-
HOY;19730704;-
HOY;19730705;-
HOY;19730706;-
HOY;19730707;-
HOY;19730708;-
HOY;19730709;-
HOY;19730710;-
HOY;19730711;-
HOY;19730712;-
HOY;19730713;-
HOY;19730714;-
HOY;19730715;-
HOY;19730716;-
HOY;19730717;-
HOY;19730718;-
HOY;19730719;-
HOY;19730720;-
HOY;19730721;-
HOY;19730722;-
HOY;19730723;-
HOY;19730724;-
HOY;19730725;-
HOY;19730726;-
HOY;19730727;-
HOY;19730728;-
HOY;19730729;-
HOY;19730730;-
HOY;19730731;-
HOY;19730801;-
HOY;19730802;-
HOY;19730803;-
HOY;19730804;-
HOY;19730805;-
HOY;19730806;-
HOY;19730807;-
HOY;19730808;-
HOY;19730809;-
HOY;19730810;-
HOY;19730811;-
HOY;19730812;-
HOY;19730813;-
HOY;19730814;-
HOY;19730815;-
HOY;19730816;-
HOY;19730817;-
HOY;19730818;-
HOY;19730819;-
HOY;19730820;-
HOY;19730821;-
HOY;19730822;-
HOY;19730823;-
HOY;19730824;-
HOY;19730825;-
HOY;19730826;-
HOY;19730827;-
HOY;19730828;-
HOY;19730829;-
HOY;19730830;-
HOY;19730831;-
HOY;19730901;-
HOY;19730902;-
HOY;19730903;-
HOY;19730904;-
HOY;19730905;-
HOY;19730906;-
HOY;19730907;-
HOY;19730908;-
HOY;19730909;-
HOY;19730910;-
HOY;19730911;-
HOY;19730912;-
HOY;19730913;-
HOY;19730914;-
HOY;19730915;-
HOY;19730916;-
HOY;19730917;-
HOY;19730918;-
HOY;19730919;-
HOY;19730920;-
HOY;19730921;-
HOY;19730922;-
HOY;19730923;-
HOY;19730924;-
HOY;19730925;-
HOY;19730926;-
HOY;19730927;-
HOY;19730928;-
HOY;19730929;-
HOY;19730930;-
HOY;19731001;-
HOY;19731002;0
HOY;19731003;0
HOY;19731004;0
HOY;19731005;0
HOY;19731006;0
HOY;19731007;0
HOY;19731008;8
HOY;19731009;4
HOY;19731010;0
HOY;19731011;0
HOY;19731012;0
HOY;19731013;0
HOY;19731014;0
HOY;19731015;0
HOY;19731016;0
HOY;19731017;0
HOY;19731018;0
HOY;19731019;18
HOY;19731020;22
HOY;19731021;12
HOY;19731022;15
HOY;19731023;25
HOY;19731024;30
HOY;19731025;28
HOY;19731026;30
HOY;19731027;27
HOY;19731028;25
HOY;19731029;20
HOY;19731030;17
HOY;19731031;15
HOY;19731101;14
HOY;19731102;13
HOY;19731103;12
HOY;19731104;10
HOY;19731105;7
HOY;19731106;10
HOY;19731107;31
HOY;19731108;29
HOY;19731109;29
HOY;19731110;27
HOY;19731111;25
HOY;19731112;20
HOY;19731113;19
HOY;19731114;15
HOY;19731115;12
HOY;19731116;10
HOY;19731117;12
HOY;19731118;12
HOY;19731119;10
HOY;19731120;5
HOY;19731121;2
HOY;19731122;0
HOY;19731123;0
HOY;19731124;0
HOY;19731125;0
HOY;19731126;23
HOY;19731127;48
HOY;19731128;50
HOY;19731129;70
HOY;19731130;87
HOY;19731201;100
HOY;19731202;107
HOY;19731203;109
HOY;19731204;112
HOY;19731205;114
HOY;19731206;95
HOY;19731207;93
HOY;19731208;98
HOY;19731209;125
HOY;19731210;118
HOY;19731211;116
HOY;19731212;110
HOY;19731213;109
HOY;19731214;98
HOY;19731215;138
HOY;19731216;149
HOY;19731217;151
HOY;19731218;158
HOY;19731219;154
HOY;19731220;140
HOY;19731221;137
HOY;19731222;139
HOY;19731223;135
HOY;19731224;130
HOY;19731225;127
HOY;19731226;129
HOY;19731227;128
HOY;19731228;127
HOY;19731229;125
HOY;19731230;124
HOY;19731231;123
HOY;19740101;121
HOY;19740102;120
HOY;19740103;120
HOY;19740104;120
HOY;19740105;119
HOY;19740106;120
HOY;19740107;123
HOY;19740108;136
HOY;19740109;136
HOY;19740110;136
HOY;19740111;132
HOY;19740112;130
HOY;19740113;129
HOY;19740114;126
HOY;19740115;122
HOY;19740116;120
HOY;19740117;114
HOY;19740118;150
HOY;19740119;186
HOY;19740120;188
HOY;19740121;184
HOY;19740122;166
HOY;19740123;161
HOY;19740124;158
HOY;19740125;160
HOY;19740126;157
HOY;19740127;156
HOY;19740128;160
HOY;19740129;156
HOY;19740130;152
HOY;19740131;150
HOY;19740201;-
HOY;19740202;150
HOY;19740203;151
HOY;19740204;158
HOY;19740205;160
HOY;19740206;165
HOY;19740207;180
HOY;19740208;208
HOY;19740209;201
HOY;19740210;189
HOY;19740211;185
HOY;19740212;180
HOY;19740213;191
HOY;19740214;191
HOY;19740215;195
HOY;19740216;186
HOY;19740217;184
HOY;19740218;180
HOY;19740219;176
HOY;19740220;174
HOY;19740221;175
HOY;19740222;175
HOY;19740223;200
HOY;19740224;229
HOY;19740225;226
HOY;19740226;221
HOY;19740227;224
HOY;19740228;220
HOY;19740301;218
HOY;19740302;223
HOY;19740303;217
HOY;19740304;212
HOY;19740305;218
HOY;19740306;220
HOY;19740307;220
HOY;19740308;220
HOY;19740309;217
HOY;19740310;215
HOY;19740311;210
HOY;19740312;207
HOY;19740313;204
HOY;19740314;200
HOY;19740315;225
HOY;19740316;216
HOY;19740317;200
HOY;19740318;196
HOY;19740319;189
HOY;19740320;182
HOY;19740321;169
HOY;19740322;159
HOY;19740323;155
HOY;19740324;155
HOY;19740325;148
HOY;19740326;145
HOY;19740327;142
HOY;19740328;140
HOY;19740329;135
HOY;19740330;130
HOY;19740331;125
HOY;19740401;122
HOY;19740402;120
HOY;19740403;117
HOY;19740404;114
HOY;19740405;110
HOY;19740406;106
HOY;19740407;105
HOY;19740408;103
HOY;19740409;101
HOY;19740410;100
HOY;19740411;98
HOY;19740412;94
HOY;19740413;90
HOY;19740414;88
HOY;19740415;85
HOY;19740416;97
HOY;19740417;125
HOY;19740418;128
HOY;19740419;116
HOY;19740420;109
HOY;19740421;103
HOY;19740422;97
HOY;19740423;87
HOY;19740424;100
HOY;19740425;109
HOY;19740426;114
HOY;19740427;108
HOY;19740428;104
HOY;19740429;98
HOY;19740430;92
HOY;19740501;87
HOY;19740502;89
HOY;19740503;94
HOY;19740504;90
HOY;19740505;88
HOY;19740506;85
HOY;19740507;84
HOY;19740508;83
HOY;19740509;82
HOY;19740510;80
HOY;19740511;78
HOY;19740512;75
HOY;19740513;70
HOY;19740514;64
HOY;19740515;54
HOY;19740516;42
HOY;19740517;36
HOY;19740518;28
HOY;19740519;20
HOY;19740520;10
HOY;19740521;0
HOY;19740522;0
HOY;19740523;-
HOY;19740524;16
HOY;19740525;17
HOY;19740526;14
HOY;19740527;10
HOY;19740528;5
HOY;19740529;-
HOY;19740530;-
HOY;19740531;-
HOY;19740601;-
HOY;19740602;-
HOY;19740603;-
HOY;19740604;-
HOY;19740605;-
HOY;19740606;-
HOY;19740607;-
HOY;19740608;-
HOY;19740609;-
HOY;19740610;-
